Year,All_Organs, Kidney, Liver, Pancreas, Kidney-Pancreas, Heart, Lung, Heart-Lung, Intestine,All_Organs_DD, Kidney_DD, Liver_DD, Pancreas_DD, Kidney-Pancreas_DD, Heart_DD, Lung_DD, Heart-Lung_DD, Intestine_DD,All_Organs_LD, Kidney_LD, Liver_LD, Lung_LD
1988,85,61,11,0,0,13,0,0,0,64,40,11,0,0,13,0,0,0,21,21,0,0
1989,85,49,22,0,6,8,0,0,0,70,34,22,0,6,8,0,0,0,15,15,0,0
1990,103,43,31,0,13,16,0,0,0,96,36,31,0,13,16,0,0,0,7,7,0,0
1991,122,62,34,2,14,10,0,0,0,102,42,34,2,14,10,0,0,0,20,20,0,0
1992,98,47,33,0,4,8,5,1,0,90,39,33,0,4,8,5,1,0,8,8,0,0
1993,115,47,21,0,12,20,15,0,0,97,29,21,0,12,20,15,0,0,18,18,0,0
1994,171,68,38,1,12,25,25,2,0,155,52,38,1,12,25,25,2,0,16,16,0,0
1995,176,59,37,0,15,25,37,3,0,159,42,37,0,15,25,37,3,0,17,17,0,0
1996,186,72,37,1,15,28,33,0,0,166,52,37,1,15,28,33,0,0,20,20,0,0
1997,206,78,32,0,20,19,54,3,0,185,59,31,0,20,19,53,3,0,21,19,1,1
1998,195,70,48,2,15,21,35,4,0,176,51,48,2,15,21,35,4,0,19,19,0,0
1999,193,70,25,4,16,24,52,2,0,162,40,24,4,16,24,52,2,0,31,30,1,0
2000,249,86,34,7,15,52,53,2,0,225,64,33,7,15,52,52,2,0,24,22,1,1
2001,302,111,36,6,16,68,63,2,0,246,57,36,6,16,68,61,2,0,56,54,0,2
2002,272,96,38,6,21,60,50,1,0,221,48,35,6,21,60,50,1,0,51,48,3,0
2003,286,121,35,10,5,51,59,5,0,216,54,34,10,5,51,57,5,0,70,67,1,2
2004,280,119,41,3,9,48,59,1,0,226,71,36,3,9,48,58,1,0,54,48,5,1
2005,260,100,41,1,15,35,67,1,0,213,55,39,1,15,35,67,1,0,47,45,2,0
2006,251,95,46,0,10,40,60,0,0,213,58,45,0,10,40,60,0,0,38,37,1,0
2007,240,84,30,2,20,48,55,1,0,211,57,28,2,20,48,55,1,0,29,27,2,0
2008,285,108,44,0,14,48,71,0,0,257,80,44,0,14,48,71,0,0,28,28,0,0
2009,324,105,57,1,16,50,93,1,1,294,75,57,1,16,50,93,1,1,30,30,0,0
2010,347,104,51,3,4,59,120,1,5,319,76,51,3,4,59,120,1,5,28,28,0,0
2011,408,115,63,7,11,60,145,1,6,380,89,61,7,11,60,145,1,6,28,26,2,0
2012,321,74,67,1,5,63,108,1,2,298,52,66,1,5,63,108,1,2,23,22,1,0
2013,359,87,62,4,4,63,135,0,4,336,65,62,4,4,63,134,0,4,23,22,0,1
2014,392,126,64,5,10,68,108,3,8,350,86,62,5,10,68,108,3,8,42,40,2,0
2015,431,149,90,9,9,58,106,1,9,391,113,86,9,9,58,106,1,9,40,36,4,0
2016,423,140,98,5,10,70,96,0,3,382,100,97,5,10,70,96,0,3,41,40,1,0
2017,343,129,80,0,8,49,74,2,1,309,96,79,0,8,49,74,2,1,34,33,1,0
