Year, All_Donors, Kidney, Liver, Heart, Pancreas, Lung, Intestine, All_Donors_DD, Kidney_DD, Liver_DD, Heart_DD, Pancreas_DD, Lung_DD, Intestine_DD, All_Donors_LD, Kidney_LD, Liver_LD, Heart_LD, Pancreas_LD, Lung_LD, Intestine_LD
1988,473,456,148,150,32,8,0,317,300,148,150,32,8,0,156,156,0,0,0,0,0
1989,507,493,182,143,74,5,0,321,307,182,143,74,5,0,186,186,0,0,0,0,0
1990,636,618,253,219,92,24,0,431,416,253,216,92,24,0,205,202,0,3,0,0,0
1991,658,638,261,247,85,53,1,420,401,261,247,85,52,1,238,237,0,0,0,1,0
1992,643,625,270,217,73,51,3,405,387,270,217,73,51,3,238,238,0,0,0,0,0
1993,687,659,344,262,108,89,3,463,435,344,262,108,89,3,224,224,0,0,0,0,0
1994,748,720,386,278,134,90,3,489,463,386,278,134,88,3,259,257,0,0,0,2,0
1995,744,719,372,257,133,120,5,468,445,372,257,133,118,5,276,274,0,0,0,2,0
1996,848,806,433,290,148,94,5,527,492,432,290,148,88,5,321,314,1,0,0,6,0
1997,883,838,439,287,136,112,8,531,496,433,287,136,108,8,352,342,6,0,0,4,0
1998,976,889,498,291,162,82,5,559,499,477,291,162,76,5,417,390,21,0,0,6,0
1999,1013,937,510,256,170,88,10,547,519,462,256,170,88,10,466,418,48,0,0,0,0
2000,1044,949,550,276,186,96,10,587,544,502,276,186,92,10,457,405,48,0,0,4,0
2001,1109,1006,550,278,171,94,13,601,543,511,278,171,88,13,508,463,39,0,0,6,0
2002,1130,1050,571,260,208,80,16,621,565,547,260,208,80,16,509,485,24,0,0,0,0
2003,1194,1106,569,256,170,92,16,631,560,558,256,170,86,16,563,546,11,0,0,6,0
2004,1245,1166,643,241,218,101,18,690,636,620,241,218,99,18,555,530,23,0,0,2,0
2005,1388,1285,757,270,245,158,22,805,716,743,270,245,158,22,583,569,14,0,0,0,0
2006,1446,1337,884,300,229,176,33,946,856,865,300,229,176,33,500,481,19,0,0,0,0
2007,1377,1268,833,271,203,155,28,914,820,818,271,203,155,28,463,448,15,0,0,0,0
2008,1352,1235,838,298,233,170,32,922,821,822,298,233,170,32,430,414,16,0,0,0,0
2009,1404,1283,883,286,217,190,27,962,857,867,286,217,190,27,442,426,16,0,0,0,0
2010,1343,1258,819,315,203,222,19,941,862,813,315,203,222,19,402,396,6,0,0,0,0
2011,1353,1279,781,315,196,224,16,909,851,765,315,196,224,16,444,428,16,0,0,0,0
2012,1375,1305,811,269,164,205,19,970,906,805,269,164,205,19,405,399,6,0,0,0,0
2013,1301,1229,789,299,175,220,19,922,864,777,299,175,218,19,379,365,12,0,0,2,0
2014,1343,1270,818,319,148,214,29,938,879,804,319,148,214,29,405,391,14,0,0,0,0
2015,1302,1230,797,320,163,218,29,915,854,786,320,163,218,29,387,376,11,0,0,0,0
2016,1401,1324,863,340,139,248,25,"1,011",942,855,340,139,248,25,390,382,8,0,0,0,0
2017,1184,1121,726,286,107,216,8,839,785,717,286,107,216,8,345,336,9,0,0,0,0
