"year","month","day","count"
2000,1,13,1
2000,1,14,0
2000,1,15,0
2000,1,16,1
2000,1,17,13
2000,1,18,17
2000,1,19,0
2000,1,20,1
2000,1,21,4
2000,1,22,0
2000,1,23,0
2000,1,24,1
2000,1,25,6
2000,1,26,2
2000,1,27,4
2000,1,28,2
2000,1,29,0
2000,1,30,0
2000,1,31,7
2000,2,1,5
2000,2,2,4
2000,2,3,0
2000,2,4,5
2000,2,5,0
2000,2,6,1
2000,2,7,3
2000,2,8,3
2000,2,9,5
2000,2,10,6
2000,2,11,4
2000,2,12,0
2000,2,13,1
2000,2,14,5
2000,2,15,4
2000,2,16,2
2000,2,17,5
2000,2,18,6
2000,2,19,1
2000,2,20,2
2000,2,21,1
2000,2,22,6
2000,2,23,8
2000,2,24,1
2000,2,25,4
2000,2,26,0
2000,2,27,1
2000,2,28,4
2000,2,29,6
2000,3,1,3
2000,3,2,5
2000,3,3,5
2000,3,4,0
2000,3,5,0
2000,3,6,1
2000,3,7,4
2000,3,8,10
2000,3,9,8
2000,3,10,10
2000,3,11,0
2000,3,12,0
2000,3,13,1
2000,3,14,10
2000,3,15,6
2000,3,16,6
2000,3,17,5
2000,3,18,0
2000,3,19,1
2000,3,20,5
2000,3,21,4
2000,3,22,2
2000,3,23,2
2000,3,24,2
2000,3,25,0
2000,3,26,0
2000,3,27,1
2000,3,28,3
2000,3,29,1
2000,3,30,1
2000,3,31,2
2000,4,1,0
2000,4,2,0
2000,4,3,5
2000,4,4,4
2000,4,5,4
2000,4,6,1
2000,4,7,3
2000,4,8,0
2000,4,9,0
2000,4,10,5
2000,4,11,3
2000,4,12,1
2000,4,13,3
2000,4,14,8
2000,4,15,0
2000,4,16,3
2000,4,17,6
2000,4,18,3
2000,4,19,2
2000,4,20,6
2000,4,21,3
2000,4,22,0
2000,4,23,0
2000,4,24,3
2000,4,25,8
2000,4,26,3
2000,4,27,12
2000,4,28,4
2000,4,29,0
2000,4,30,0
2000,5,1,4
2000,5,2,6
2000,5,3,3
2000,5,4,1
2000,5,5,4
2000,5,6,3
2000,5,7,4
2000,5,8,4
2000,5,9,5
2000,5,10,2
2000,5,11,8
2000,5,12,4
2000,5,13,2
2000,5,14,0
2000,5,15,2
2000,5,16,7
2000,5,17,4
2000,5,18,6
2000,5,19,6
2000,5,20,0
2000,5,21,1
2000,5,22,5
2000,5,23,4
2000,5,24,3
2000,5,25,4
2000,5,26,3
2000,5,27,0
2000,5,28,0
2000,5,29,1
2000,5,30,7
2000,5,31,4
2000,6,1,8
2000,6,2,4
2000,6,3,0
2000,6,4,1
2000,6,5,6
2000,6,6,8
2000,6,7,6
2000,6,8,14
2000,6,9,1
2000,6,10,2
2000,6,11,0
2000,6,12,9
2000,6,13,9
2000,6,14,18
2000,6,15,11
2000,6,16,11
2000,6,17,2
2000,6,18,4
2000,6,19,10
2000,6,20,8
2000,6,21,10
2000,6,22,5
2000,6,23,10
2000,6,24,0
2000,6,25,0
2000,6,26,14
2000,6,27,6
2000,6,28,12
2000,6,29,14
2000,6,30,12
2000,7,1,0
2000,7,2,0
2000,7,3,2
2000,7,4,2
2000,7,5,10
2000,7,6,4
2000,7,7,7
2000,7,8,2
2000,7,9,0
2000,7,10,5
2000,7,11,10
2000,7,12,6
2000,7,13,5
2000,7,14,2
2000,7,15,2
2000,7,16,2
2000,7,17,2
2000,7,18,1
2000,7,19,5
2000,7,20,7
2000,7,21,5
2000,7,22,0
2000,7,23,2
2000,7,24,8
2000,7,25,5
2000,7,26,5
2000,7,27,5
2000,7,28,2
2000,7,29,0
2000,7,30,2
2000,7,31,3
2000,8,1,4
2000,8,2,6
2000,8,3,1
2000,8,4,3
2000,8,5,1
2000,8,6,0
2000,8,7,3
2000,8,8,1
2000,8,9,3
2000,8,10,0
2000,8,11,2
2000,8,12,0
2000,8,13,0
2000,8,14,1
2000,8,15,9
2000,8,16,6
2000,8,17,5
2000,8,18,3
2000,8,19,0
2000,8,20,0
2000,8,21,5
2000,8,22,4
2000,8,23,6
2000,8,24,4
2000,8,25,12
2000,8,26,0
2000,8,27,3
2000,8,28,12
2000,8,29,11
2000,8,30,4
2000,8,31,8
2000,9,1,11
2000,9,2,0
2000,9,3,0
2000,9,4,2
2000,9,5,8
2000,9,6,3
2000,9,7,5
2000,9,8,10
2000,9,9,0
2000,9,10,0
2000,9,11,11
2000,9,12,10
2000,9,13,9
2000,9,14,2
2000,9,15,13
2000,9,16,0
2000,9,17,1
2000,9,18,6
2000,9,19,6
2000,9,20,4
2000,9,21,3
2000,9,22,9
2000,9,23,1
2000,9,24,0
2000,9,25,5
2000,9,26,4
2000,9,27,11
2000,9,28,5
2000,9,29,7
2000,9,30,0
2000,10,1,0
2000,10,2,6
2000,10,3,18
2000,10,4,9
2000,10,5,9
2000,10,6,9
2000,10,7,0
2000,10,8,0
2000,10,9,4
2000,10,10,10
2000,10,11,16
2000,10,12,12
2000,10,13,14
2000,10,14,0
2000,10,15,0
2000,10,16,7
2000,10,17,6
2000,10,18,3
2000,10,19,7
2000,10,20,5
2000,10,21,0
2000,10,22,1
2000,10,23,9
2000,10,24,7
2000,10,25,4
2000,10,26,6
2000,10,27,11
2000,10,28,0
2000,10,29,0
2000,10,30,11
2000,10,31,6
2000,11,1,6
2000,11,2,4
2000,11,3,2
2000,11,4,0
2000,11,5,0
2000,11,6,2
2000,11,7,5
2000,11,8,16
2000,11,9,10
2000,11,10,7
2000,11,11,0
2000,11,12,0
2000,11,13,4
2000,11,14,3
2000,11,15,5
2000,11,16,27
2000,11,17,7
2000,11,18,1
2000,11,19,1
2000,11,20,3
2000,11,21,2
2000,11,22,3
2000,11,23,2
2000,11,24,1
2000,11,25,0
2000,11,26,0
