Rooms,Baths,Size,Age,Price
4,2,2048,Old,279900
3,2,3153,New,499900
2,1,912,Old,146500
4,2,1654,Old,237700
3,2,2068,Old,200000
3,3,1477,Old,159900
3,2,1355,Old,265500
3,2,2075,New,289900
5,4,3990,Old,587000
3,2,1160,Old,70000
3,2,1220,Old,64500
3,2,1690,Old,167000
3,2,1380,Old,114600
3,2,1590,Old,103000
3,1,1050,Old,101000
2,1,770,Old,70000
3,2,1410,Old,85000
3,1,1060,Old,22500
2,2,1300,Old,90000
3,2,1500,Old,133000
2,1,820,Old,90500
4,3,3949,New,577500
2,1,1170,Old,142500
3,2,1500,Old,160000
4,2,2790,Old,240000
3,1,1030,Old,87000
3,2,1250,Old,118600
3,2,1760,Old,140000
2,3,1550,Old,148000
3,2,1120,Old,69000
4,2,2000,Old,176000
3,1,1350,Old,86500
3,2,1840,New,180000
4,2,2510,Old,179000
3,3,3110,New,338000
4,2,1760,Old,130000
3,2,1710,Old,163000
2,1,1110,Old,125000
3,2,1360,Old,100000
3,1,1250,Old,100000
3,1,1250,Old,100000
3,2,1480,Old,146500
3,2,1520,Old,144900
3,2,2020,Old,183000
3,2,1010,Old,69900
2,2,1640,Old,60000
2,2,940,Old,127000
3,2,1580,Old,86000
2,2,860,Old,50000
3,2,1420,Old,137000
3,2,1270,Old,121300
2,1,980,Old,81000
4,2,2300,Old,188000
3,2,1430,Old,85000
3,2,1380,Old,137000
3,2,1240,Old,145000
3,2,1120,Old,69000
3,2,1120,Old,109300
3,2,1900,Old,131500
4,3,2430,Old,200000
3,2,1080,Old,81900
2,1,1350,Old,91200
4,3,1720,Old,124500
3,3,4050,Old,225000
3,2,1500,Old,136500
3,3,2581,Old,381000
3,2,2120,New,250000
3,3,2745,New,354900
3,2,1520,Old,140000
2,2,1280,Old,89900
3,2,1620,Old,137000
3,2,1520,Old,103000
3,2,2030,Old,183000
3,2,1390,Old,140000
4,2,1880,Old,160000
3,2,2891,Old,434000
2,1,1340,Old,130000
2,2,940,Old,123000
2,1,580,Old,21000
4,2,1410,Old,85000
3,2,1150,Old,69900
3,2,1380,Old,125000
3,2,1470,New,162600
2,2,1590,New,156900
3,2,1200,New,105900
3,2,1920,Old,167500
3,2,2150,Old,151800
5,3,2200,Old,118300
2,2,860,Old,94300
3,1,1230,Old,93900
4,2,1140,Old,165000
4,3,2650,New,285000
3,1,1060,Old,45000
3,2,1770,Old,124900
4,2,1860,Old,147000
2,2,1060,Old,176000
3,2,1730,Old,196500
3,2,1370,Old,132200
3,2,1560,Old,88400
3,2,1340,Old,127200
5,4,2600,Old,270000
4,3,2600,New,275000
