"year","month","day","count"
2004,8,1,24
2004,8,2,18
2004,8,3,22
2004,8,4,16
2004,8,5,21
2004,8,6,14
2004,8,7,27
2004,8,8,14
2004,8,9,26
2004,8,10,24
2004,8,11,30
2004,8,12,16
2004,8,13,23
2004,8,14,23
2004,8,15,14
2004,8,16,28
2004,8,17,7
2004,8,18,21
2004,8,19,27
2004,8,20,37
2004,8,21,19
2004,8,22,18
2004,8,23,24
2004,8,24,17
2004,8,25,19
2004,8,26,22
2004,8,27,23
2004,8,28,17
2004,8,29,16
2004,8,30,19
2004,8,31,22
2004,9,1,17
2004,9,2,20
2004,9,3,18
2004,9,4,26
2004,9,5,24
2004,9,6,20
2004,9,7,15
2004,9,8,32
2004,9,9,22
2004,9,10,25
2004,9,11,27
2004,9,12,19
2004,9,13,20
2004,9,14,28
2004,9,15,27
2004,9,16,30
2004,9,17,23
2004,9,18,20
2004,9,19,23
2004,9,20,27
2004,9,21,31
2004,9,22,23
2004,9,23,27
2004,9,24,24
2004,9,25,28
2004,9,26,20
2004,9,27,26
2004,9,28,27
2004,9,29,26
2004,9,30,24
2004,10,1,27
2004,10,2,25
2004,10,3,28
2004,10,4,17
2004,10,5,22
2004,10,6,37
2004,10,7,19
2004,10,8,12
2004,10,9,30
2004,10,10,24
2004,10,11,18
2004,10,12,22
2004,10,13,22
2004,10,14,26
2004,10,15,16
2004,10,16,21
2004,10,17,24
2004,10,18,29
2004,10,19,44
2004,10,20,6
2004,10,21,26
2004,10,22,30
2004,10,23,15
2004,10,24,23
2004,10,25,28
2004,10,26,24
2004,10,27,24
2004,10,28,36
2004,10,29,26
2004,10,30,32
2004,10,31,19
2004,11,1,28
2004,11,2,29
2004,11,3,32
2004,11,4,31
2004,11,5,23
2004,11,6,47
2004,11,7,30
2004,11,8,38
2004,11,9,32
2004,11,10,20
2004,11,11,35
2004,11,12,26
2004,11,13,14
2004,11,14,21
2004,11,15,29
2004,11,16,27
2004,11,17,28
2004,11,18,31
2004,11,19,32
2004,11,20,33
2004,11,21,30
2004,11,22,39
2004,11,23,44
2004,11,24,45
2004,11,25,23
2004,11,26,26
2004,11,27,32
2004,11,28,22
2004,11,29,19
2004,11,30,34
2004,12,1,35
2004,12,2,26
2004,12,3,22
2004,12,4,20
2004,12,5,21
2004,12,6,20
2004,12,7,30
2004,12,8,27
2004,12,9,36
2004,12,10,17
2004,12,11,27
2004,12,12,32
2004,12,13,19
2004,12,14,21
2004,12,15,30
2004,12,16,29
2004,12,17,19
2004,12,18,37
2004,12,19,36
2004,12,20,27
2004,12,21,34
2004,12,22,26
2004,12,23,29
2004,12,24,42
2004,12,25,31
2004,12,26,26
2004,12,27,25
2004,12,28,39
2004,12,29,30
2004,12,30,36
2004,12,31,27
2005,1,1,16
2005,1,2,16
2005,1,3,40
2005,1,4,24
2005,1,5,42
2005,1,6,27
2005,1,7,45
2005,1,8,31
2005,1,9,27
2005,1,10,42
2005,1,11,31
2005,1,12,38
2005,1,13,24
2005,1,14,37
2005,1,15,31
2005,1,16,24
2005,1,17,37
2005,1,18,34
2005,1,19,34
2005,1,20,39
2005,1,21,39
2005,1,22,63
2005,1,23,39
2005,1,24,42
2005,1,25,39
2005,1,26,28
2005,1,27,26
2005,1,28,26
2005,1,29,20
2005,1,30,31
2005,1,31,25
2005,2,1,39
2005,2,2,53
2005,2,3,19
2005,2,4,28
2005,2,5,42
2005,2,6,33
2005,2,7,29
2005,2,8,36
2005,2,9,33
2005,2,10,22
2005,2,11,25
2005,2,12,24
2005,2,13,19
2005,2,14,33
2005,2,15,34
2005,2,16,32
2005,2,17,39
2005,2,18,29
2005,2,19,40
2005,2,20,40
2005,2,21,44
2005,2,22,20
2005,2,23,19
2005,2,24,24
2005,2,25,35
2005,2,26,12
2005,2,27,25
2005,2,28,34
2005,3,1,21
2005,3,2,29
2005,3,3,24
2005,3,4,31
2005,3,5,25
2005,3,6,28
2005,3,7,29
2005,3,8,13
2005,3,9,30
2005,3,10,16
2005,3,11,25
2005,3,12,22
2005,3,13,34
2005,3,14,33
2005,3,15,37
2005,3,16,26
2005,3,17,32
2005,3,18,27
2005,3,19,25
2005,3,20,31
2005,3,21,27
2005,3,22,14
2005,3,23,25
2005,3,24,37
2005,3,25,13
2005,3,26,26
2005,3,27,25
2005,3,28,25
2005,3,29,15
2005,3,30,21
2005,3,31,22
2005,4,1,19
2005,4,2,16
2005,4,3,18
