"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","im so over having acne and stress",FALSE,0,NA,2017-11-07 21:04:51,FALSE,NA,"928005348119797760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","smith_chriss",17,TRUE,FALSE,NA,NA
"2","literally just good makeup brushes ive had mine for two years and i think that since ive had them so l",FALSE,0,"urbandoll",2017-11-07 21:04:47,TRUE,"927954319168569344","928005332437102592","2847258711","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kenyanaanika",0,FALSE,FALSE,NA,NA
"3","i hate how stress causes acne and acne causes stress that stress leading to more acne i really hate acne",FALSE,0,NA,2017-11-07 21:04:44,FALSE,NA,"928005318142865410",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ihtsjackie",6,TRUE,FALSE,NA,NA
"4","okay so i have acne scars and i was wondering whatany green concealer and the dermacol foundation",FALSE,0,NA,2017-11-07 21:04:41,FALSE,NA,"928005307036467201",NA,"<a href=""https://curiouscat.me"" rel=""nofollow"">Curious Cat</a>","LaceyTomaiolo",0,FALSE,FALSE,NA,NA
"5","acne as soon as you start feeling confident",FALSE,0,NA,2017-11-07 21:03:59,FALSE,NA,"928005132419203072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","armandh0e",28,TRUE,FALSE,NA,NA
"6","i spy a major acne breakout",FALSE,0,"MiliChaufan",2017-11-07 21:03:58,FALSE,"928001821913776129","928005128975765504","612001119","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MiliChaufan",0,FALSE,FALSE,NA,NA
"7","if you have acne prone skin you may want to try one or more of these suggestions skincare beautifulskin",FALSE,0,NA,2017-11-07 21:03:19,FALSE,NA,"928004961694183424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Karen___Ballou",2,TRUE,FALSE,NA,NA
"8","ok yall gettin out of hand with these damn dc complaints i just saw a bitch say coming to dc gave her acne bitch if you",FALSE,0,NA,2017-11-07 21:02:53,FALSE,NA,"928004853653278721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","___skyeimani",170,TRUE,FALSE,NA,NA
"9",NA,FALSE,0,NA,2017-11-07 21:02:37,FALSE,NA,"928004787068723200",NA,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","PeersConf",1,TRUE,FALSE,NA,NA
"10","savelightningdealclaimed blackhead remover rechargeable electric comedone acne extractor s",FALSE,0,NA,2017-11-07 21:02:31,FALSE,NA,"928004764209729537",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","LavaHotDeals",0,FALSE,FALSE,NA,NA
"11","honestly acne can smd",FALSE,0,NA,2017-11-07 21:02:02,FALSE,NA,"928004642105188352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LittlesBailey",9,TRUE,FALSE,NA,NA
